tick,gini,engel,unemployment,active_firms,active_households,total_firms,total_households
1,0.13651519225598266,0.0,0.5,2,10,2,10
2,0.12083656947738891,0.0,0.5,2,10,2,10
3,0.11933461285917941,0.7,0.5,2,10,2,10
4,0.11479394532978283,0.7000000000000001,0.5,2,10,2,10
5,0.10174468797460402,0.6051080550098231,0.5,2,10,2,10
6,0.09389244071745674,0.5772113943028485,0.5,2,10,2,10
7,0.08804967312973826,0.5891959798994975,0.5,2,10,2,10
8,0.09117261401237918,0.5727757399689785,0.5,2,10,2,10
9,0.08982434243927624,0.5368869115099142,0.5,2,10,2,10
10,0.09167453996239995,0.5808212812917465,0.5,2,10,2,10
11,0.09622578462107699,0.5808212812917466,0.5,2,10,2,10
12,0.10238579667290591,0.5808212812917466,0.5,2,10,2,10
13,0.10925367920319369,0.5808212812917466,0.5,2,10,2,10
14,0.11736166663957681,0.5808212812917466,0.5,2,10,2,10
15,0.12587261176168027,0.5808212812917466,0.5,2,10,2,10
16,0.13415386160766507,0.5808212812917466,0.5,2,10,2,10
17,0.14337006098297123,0.5808212812917466,0.5,2,10,2,10
18,0.1525748233453744,0.5808212812917466,0.5,2,10,2,10
19,0.15853339182528794,0.5808212812917466,0.5,2,10,2,10
20,0.15512119219860107,0.5808212812917466,0.5,2,10,2,10
21,0.15097759233796473,0.5808212812917466,0.5,2,10,2,10
22,0.1463624544336743,0.5808212812917466,0.5,2,10,2,10
23,0.14167641427040847,0.5808212812917466,0.5,2,10,2,10
24,0.136545915027041,0.5808212812917466,0.5,2,10,2,10
25,0.13093272719199786,0.5808212812917466,0.5,2,10,2,10
26,0.12608620894875888,0.5808212812917466,0.5,2,10,2,10
27,0.12104249203449385,0.5808212812917466,0.5,2,10,2,10
28,0.11619984708837792,0.5808212812917466,0.5,2,10,2,10
29,0.11190858236564136,0.5808212812917466,0.5,2,10,2,10
30,0.10860783262877681,0.5808212812917466,0.5,2,10,2,10
31,0.1050402385015729,0.5808212812917466,0.5,2,10,2,10
32,0.10205376187334136,0.5808212812917466,0.5,2,10,2,10
33,0.10157178407536273,0.5808212812917466,0.5,2,10,2,10
34,0.10228026640977274,0.5808212812917466,0.5,2,10,2,10
35,0.10639912366775865,0.5808212812917466,0.5,2,10,2,10
36,0.11125672033883972,0.5808212812917466,0.5,2,10,2,10
37,0.11633195173632141,0.5808212812917466,0.5,2,10,2,10
38,0.12357867274793086,0.5808212812917466,0.5,2,10,2,10
39,0.13433713510872944,0.5808212812917466,0.5,2,10,2,10
40,0.14324213295694646,0.5808212812917466,0.5,2,10,2,10
41,0.15237617677563806,0.5808212812917466,0.5,2,10,2,10
42,0.1615321718301027,0.5808212812917466,0.5,2,10,2,10
43,0.17041394949511718,0.5808212812917466,0.5,2,10,2,10
44,0.17983359722390985,0.5808212812917466,0.5,2,10,2,10
45,0.1889509911382217,0.5808212812917466,0.5,2,10,2,10
46,0.19824484237519205,0.5808212812917466,0.5,2,10,2,10
47,0.20702920613773668,0.5808212812917466,0.5,2,10,2,10
48,0.21528231505776987,0.5808212812917466,0.5,2,10,2,10
49,0.22219676571405794,0.5808212812917466,0.5,2,10,2,10
50,0.2270365843059584,0.5808212812917466,0.5,2,10,2,10
